001,30-06-2022-04:57:21,Initial Deposit,10000,10000
002,30-06-2022-04:58:12,Investment in Ripple,-5000.00,5000.00
003,30-06-2022-04:58:12,Investment Returns,4668.13,9668.13
004,30-06-2022-04:58:57,Investment in Bitcoin,-2000.00,7668.13
005,30-06-2022-04:58:57,Investment Returns,1723.68,9391.81
006,30-06-2022-04:59:12,Investment in Bitcoin,-8000.00,1391.81
007,30-06-2022-04:59:12,Investment Returns,9103.32,10495.13
008,30-06-2022-05:16:44,Investment in Bitcoin,-500.00,9995.13
009,30-06-2022-05:16:44,Investment Returns,429.77,10424.90
010,30-06-2022-05:17:09,Investment in Ripple,-5000.00,5424.90
011,30-06-2022-05:17:09,Investment Returns,4598.28,10023.18
012,30-06-2022-05:17:16,Investment in Bitcoin,-5000.00,5023.18
013,30-06-2022-05:17:16,Investment Returns,5042.46,10065.64
014
